,시도,군구,스벅_나머지데이터,ID
58,서울,강남,"테헤란로 334, LG화재 빌딩 (역삼동)02-758-8108",서울 강남
59,서울,강남,밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층02-758-8165,서울 강남
60,서울,강남,영동대로 616 (삼성동)02-758-8478,서울 강남
61,서울,강남,도곡로 183 (역삼동)02-758-8463,서울 강남
62,서울,강남,"봉은사로 213, 센트럴타워 (논현동)02-758-8444",서울 강남
63,서울,강남,학동로 506 (삼성동)02-758-8394,서울 강남
64,서울,강남,언주로174길 29 (신사동)02-758-8398,서울 강남
65,서울,강남,"봉은사로 304, 금강빌딩 1-2층 (역삼동)02-758-8317",서울 강남
66,서울,강남,강남대로 282 (도곡동)02-758-8325,서울 강남
67,서울,강남,"테헤란로2길 27, 1층 101호 (역삼동)02-758-8492",서울 강남
68,서울,강남,"테헤란로 145, 우신빌딩 1층 (역삼동)02-758-8314",서울 강남
69,서울,강남,"선릉로 836, 삼원빌딩 1,2층 (청담동)02-758-8345",서울 강남
70,서울,강남,테헤란로 306 (역삼동)02-758-8321,서울 강남
71,서울,강남,"삼성로86길 7, 1층 (대치동)02-758-8331",서울 강남
72,서울,강남,"선릉로93길 22, 대흥빌딩 1층 (역삼동)02-758-8552",서울 강남
73,서울,강남,테헤란로103길 9 (삼성동)02-758-8585,서울 강남
74,서울,강남,논현로 648 (논현동)02-758-8426,서울 강남
75,서울,강남,"도산대로 134, 2층 (논현동)02-758-8429",서울 강남
76,서울,강북,삼양로 161 (미아동)02-980-3341,서울 강북
77,서울,강북,도봉로 365 (수유동)02-758-8944,서울 강북
78,서울,강북,도봉로 32 (미아동)02-758-8859,서울 강북
79,서울,강북,도봉로 342 (번동)02-758-8104,서울 강북
80,서울,강북,도봉로 196 (미아동)02-758-8500,서울 강북
81,서울,강서,강서로 267 (내발산동)02-2664-2624,서울 강서
82,서울,강서,마곡동로 62 (마곡동)02-2659-3585,서울 강서
83,서울,강서,방화대로 375 (방화동)02-2664-3480,서울 강서
84,서울,강서,마곡중앙로 161-17 (마곡동)02-3662-3504,서울 강서
85,서울,강서,"마곡중앙6로 16 (마곡동) 117,118,119,120호02-2659-3404",서울 강서
86,서울,강서,양천로 476 (등촌동)02-3661-3418,서울 강서
87,서울,강서,등촌로 57 (화곡동)02-2648-3257,서울 강서
88,서울,강서,강서로 463 (마곡동)02-2658-3312,서울 강서
89,서울,강서,화곡로 142(화곡동)02-758-8881,서울 강서
90,서울,강서,공항대로 329 (등촌동)02-758-8883,서울 강서
91,서울,강서,공항대로 627 (염창동)02-758-8694,서울 강서
92,서울,강서,강서로 388 (등촌동) 그랜드마트02-758-8720,서울 강서
93,서울,강서,"양천로 559, 가양이마트 1층 (가양동)02-758-8070",서울 강서
94,서울,강서,강서로13길 3 (화곡동)02-758-8538,서울 강서
95,서울,관악,관악로 158 (봉천동)02-883-3725,서울 관악
96,서울,관악,남부순환로 1419 (신림동)02-851-3283,서울 관악
97,서울,관악,남부순환로 1817 (봉천동)02-876-3252,서울 관악
98,서울,관악,남부순환로 1948 (봉천동)02-872-3249,서울 관악
99,서울,관악,남부순환로 2082-2502-758-8721,서울 관악
100,서울,관악,"보라매로3길 23, 대교빌딩 1층 (봉천동)02-758-8629",서울 관악
101,서울,관악,남부순환로 1619 (신림동)02-758-8645,서울 관악
102,서울,관악,신림로 355-1 (신림동)02-758-8290,서울 관악
103,서울,관악,"신림로 330, PODO MALL 1층 101 일부 (신림동)02-758-8286",서울 관악
104,서울,관악,남부순환로 1812 (봉천동)02-758-8460,서울 관악
105,서울,광진,능동로243 02-464-3656,서울 광진
106,서울,광진,천호대로 676 02-455-3637,서울 광진
107,서울,광진,광나루로 608 (구의동)02-453-3514,서울 광진
108,서울,광진,광나루로 519 (구의동)02-758-8901,서울 광진
109,서울,광진,아차산로 35502-758-8865,서울 광진
110,서울,광진,천호대로 548 (군자동) 중앙빌딩02-758-8748,서울 광진
111,서울,광진,"아차산로 607, 1,2층 (광장동)02-758-8648",서울 광진
112,서울,광진,아차산로 262 (자양동)02-758-8197,서울 광진
113,서울,광진,능동로 50 (자양동)02-758-8159,서울 광진
114,서울,광진,구의강변로 64 (구의동) 구의아크로리버02-758-8759,서울 광진
115,서울,광진,능동로 107 (화양동)02-758-8305,서울 광진
116,서울,광진,아차산로 373 (구의동)02-758-8476,서울 광진
117,서울,광진,아차산로 537-17 (광장동)02-758-8508,서울 광진
118,서울,광진,능동로 90 (자양동) 더 클래식50002-758-8519,서울 광진
119,서울,금천,가산디지털1로 171 (가산동)02-6244-8046,서울 금천
120,서울,금천,시흥대로 426 (독산동)02-838-3444,서울 금천
121,서울,금천,시흥대로 164 (시흥동)02-805-3360,서울 금천
122,서울,금천,벚꽃로 298 (가산동)02-2083-8302,서울 금천
123,서울,금천,두산로 70 (독산동)02-758-8765,서울 금천
124,서울,금천,가산디지털1로 168 (가산동)02-758-8147,서울 금천
125,서울,금천,디지털로 188 (가산동)02-758-8196,서울 금천
126,서울,금천,벚꽃로 266 마리오아울렛3관02-758-8542,서울 금천
127,서울,금천,가산디지털1로 128 (가산동)02-758-8371,서울 금천
128,서울,금천,"디지털로9길 32, 갑을그레이트밸리 1층 (가산동)02-758-8346",서울 금천
129,서울,노원,마들로3길 15 02-971-3748,서울 노원
130,서울,노원,노원로 449 02-931-3660,서울 노원
131,서울,노원,동일로 1015 (공릉동)02-971-3457,서울 노원
132,서울,노원,"노원로 569 (상계동, 임광아파트)02-934-3438",서울 노원
133,서울,노원,동일로 1081 (공릉동)02-972-3380,서울 노원
134,서울,노원,화랑로 621 (공릉동)02-758-8647,서울 노원
135,서울,노원,"중계로 217, 중흥빌딩 103,203호 (중계동)02-758-8238",서울 노원
136,서울,노원,"노해로 502, (주)KT 노원사옥 (상계동)02-758-8523",서울 노원
137,서울,노원,석계로 104 (월계동)02-758-8485,서울 노원
138,서울,노원,"동일로 1339, 대한빌딩 (상계동)02-758-8567",서울 노원
139,서울,노원,"동일로 1413, 1층 (상계동)02-758-8584",서울 노원
140,서울,노원,마들로3길 15 (월계동)02-758-8573,서울 노원
141,서울,도봉,노해로65길 4 (창동)02-903-3791,서울 도봉
142,서울,도봉,도봉로 480 (창동)02-758-8691,서울 도봉
143,서울,동작,"보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)02-832-3693",서울 동작
144,서울,동작,사당로 300 (사당동 이수자이)02-588-3657,서울 동작
145,서울,동작,노량진로 134 (노량진동)02-816-3581,서울 동작
146,서울,동작,상도로 102 (상도동)02-813-3501,서울 동작
147,서울,동작,흑석로 75-1 (흑석동)02-812-3250,서울 동작
148,서울,동작,상도로 354 (상도동)02-815-3205,서울 동작
149,서울,동작,사당로 4 (상도동)02-758-8153,서울 동작
150,서울,동작,"동작대로 21, 양지빌딩 1-3층 (사당동)02-758-8311",서울 동작
151,서울,마포,상암산로 76 (상암동)02-304-3752,서울 마포
152,서울,마포,토정로 295 (용강동)02-3275-3655,서울 마포
153,서울,마포,양화로 125 (서교동)02-325-3531,서울 마포
154,서울,마포,마포대로 173-14 (아현동)02-392-3555,서울 마포
155,서울,마포,마포대로 130 (공덕동)02-716-3426,서울 마포
156,서울,마포,"양화로 45 (서교동, 메세나폴리스)02-324-3587",서울 마포
157,서울,마포,양화로 178 (동교동)02-332-3516,서울 마포
158,서울,마포,독막로 311 (염리동)02-3272-3331,서울 마포
159,서울,마포,서강로 69 (창전동)02-325-3351,서울 마포
160,서울,마포,"월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-202-323-3214",서울 마포
161,서울,마포,백범로 89-5 (대흥동)02-3272-3335,서울 마포
162,서울,마포,양화로 105 (서교동)02-326-5218,서울 마포
163,서울,마포,월드컵북로54길 17 (상암동)02-373-3225,서울 마포
164,서울,마포,신촌로16길 10 (노고산동)02-334-3275,서울 마포
165,서울,마포,상암산로 3402-758-8890,서울 마포
166,서울,마포,독막로 88 (상수동)02-758-8925,서울 마포
167,서울,마포,마포대로 86 (도화동) 창강빌딩02-758-8933,서울 마포
168,서울,마포,양화로 78 (서교동) 서교빌딩 1층02-758-8856,서울 마포
169,서울,마포,백범로 23 (신수동)02-758-8783,서울 마포
170,서울,마포,성암로 267 (상암동)02-758-8787,서울 마포
171,서울,마포,와우산로 83 (서교동)02-758-8786,서울 마포
172,서울,마포,"양화로 165, 상진빌딩 1층 (동교동)02-758-8672",서울 마포
173,서울,마포,"월드컵북로 22, 영준빌딩 1층 (동교동)02-758-8637",서울 마포
174,서울,마포,"마포대로 201, 마포트라팰리스II (아현동)02-758-8272",서울 마포
175,서울,마포,"와우산로 101, 정명빌딩 (서교동)02-758-8293",서울 마포
176,서울,마포,"월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)02-6393-6219",서울 마포
177,서울,마포,"마포대로 45, 일진빌딩 1층 (도화동)02-758-8265",서울 마포
178,서울,마포,마포대로 68 (도화동) 마포아크로타워02-758-8217,서울 마포
179,서울,마포,와우산로 64 (상수동)02-758-8402,서울 마포
180,서울,마포,월드컵로 74 (서교동)02-758-8365,서울 마포
181,서울,마포,백범로 212 (신공덕동) 마포이마트02-758-8467,서울 마포
182,서울,마포,"양화로 45 (서교동, 메세나폴리스)02-758-8534",서울 마포
183,서울,서대문,가재울미래로 2 02-304-3724,서울 서대문
184,서울,서대문,신촌로 73 (창천동)02-336-3529,서울 서대문
185,서울,서대문,연희로 97 (연희동)02-326-3372,서울 서대문
186,서울,서대문,"신촌로35길 10 (북아현동, E편한세상신촌 4단지)02-312-3430",서울 서대문
187,서울,서대문,통일로 451 (홍제동)02-396-3383,서울 서대문
188,서울,서대문,연세로 50 (신촌동) 연세대학교02-758-8977,서울 서대문
189,서울,서대문,거북골로 53 (남가좌동)02-758-8908,서울 서대문
190,서울,서대문,연희로 144 (연희동)02-758-8893,서울 서대문
191,서울,서대문,신촌로 1 (창천동)02-758-8688,서울 서대문
192,서울,서대문,충정로 53 (충정로2가)02-758-8163,서울 서대문
193,서울,서대문,신촌로 121 (창천동)02-758-8090,서울 서대문
194,서울,서대문,연세로 10-1 (창천동)02-758-8035,서울 서대문
195,서울,서대문,이화여대길 34 (대현동)02-758-8001,서울 서대문
196,서울,서대문,"연세로 50, 연세세브란스 종합관 (신촌동)02-758-8244",서울 서대문
197,서울,서대문,이화여대길 52 (대현동) 이화여자대학교 B415호02-758-8240,서울 서대문
198,서울,서대문,연세로 35 (창천동)02-758-8439,서울 서대문
199,서울,서대문,신촌로 129 (창천동)02-758-8401,서울 서대문
200,서울,서대문,충정로 2302-758-8479,서울 서대문
201,서울,서대문,성산로 565 (대신동)02-758-8450,서울 서대문
202,서울,서대문,"명물길 24, 1-5층 (창천동)02-365-8330",서울 서대문
203,서울,서대문,"서소문로 21, 충정타워빌딩 1층 (충정로3가)02-758-8333",서울 서대문
204,서울,서초,강남대로 465 (서초동)02-534-3604,서울 서초
205,서울,서초,방배로 114 (방배동)02-3473-3576,서울 서초
206,서울,서초,신반포로 176 (반포동)02-537-3598,서울 서초
207,서울,서초,반포대로21길 3 (서초동)02-522-3533,서울 서초
208,서울,서초,남부순환로 2557 (서초동)02-3471-3545,서울 서초
209,서울,서초,강남대로 343 (서초동)02-3486-3536,서울 서초
210,서울,서초,"서초대로 3-4 (방배동, 방배디오슈페리움1)02-3476-3472",서울 서초
211,서울,서초,강남대로 595 (잠원동)02-516-3402,서울 서초
212,서울,서초,신반포로 194 (반포동)02-592-3432,서울 서초
213,서울,서초,강남대로85길 5 (반포동)02-515-3419,서울 서초
214,서울,서초,방배로 21102-536-3204,서울 서초
215,서울,서초,방배중앙로 162 (방배동)02-536-3206,서울 서초
216,서울,서초,서초대로 274 (서초동)02-523-3294,서울 서초
217,서울,서초,청계산로 203 (신원동)02-577-3253,서울 서초
218,서울,서초,방배천로 5-4(방배동)02-758-8953,서울 서초
219,서울,서초,사평대로 205 (반포동) CENTRALCITY02-758-8790,서울 서초
220,서울,서초,서초중앙로 138 (서초동) 우림빌딩02-758-8757,서울 서초
221,서울,서초,강남대로 202 (양재동) 모산빌딩02-758-8816,서울 서초
222,서울,서초,강남대로 557 (잠원동) 1~2층02-758-8819,서울 서초
223,서울,서초,동작대로 112 (방배동)02-758-8794,서울 서초
224,서울,서초,방배로 184 (방배동) 대풍빌딩02-758-8740,서울 서초
225,서울,서초,서초대로74길 29 (서초동) 서초파라곤02-758-8716,서울 서초
226,서울,서초,남부순환로 2395 (서초동) 호경빌딩02-758-8738,서울 서초
227,서울,서초,서초중앙로 22502-758-8715,서울 서초
228,서울,서초,신반포로 176 (반포동)02-758-8656,서울 서초
229,서울,서초,서초대로78길 24 (서초동)02-758-8213,서울 서초
230,서울,서초,방배로 84 (방배동)02-758-8086,서울 서초
231,서울,서초,신반포로 257 (잠원동) 신반포11차상가02-758-8141,서울 서초
232,서울,서초,"서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)02-758-8085",서울 서초
233,서울,서초,잠원로 69 (잠원동) 킴스클럽02-758-8032,서울 서초
234,서울,서초,"서초대로77길 27, 유빌딩 1,2층 (서초동)02-758-8081",서울 서초
235,서울,서초,서초중앙로 118 (서초동)02-758-8073,서울 서초
236,서울,서초,"매헌로 16, 리빙관 101호 (양재동)02-2155-4117",서울 서초
237,서울,서초,강남대로 483 (반포동) 청호빌딩02-758-8756,서울 서초
238,서울,서초,"논현로 139, 대흥빌딩 (양재동)02-758-8291",서울 서초
239,서울,서초,효령로 274 (서초동)02-758-8229,서울 서초
240,서울,서초,서래로 48 (반포동)02-3482-8257,서울 서초
241,서울,서초,강남대로 399 (서초동)02-758-8225,서울 서초
242,서울,서초,반포대로 118 (서초동)02-758-8289,서울 서초
243,서울,서초,"남부순환로323길 1, 1층 (서초동)02-758-8313",서울 서초
244,서울,서초,서초중앙로 164 (서초동)02-758-8400,서울 서초
245,서울,서초,"서초대로 411, GT타워 (서초동)02-758-8477",서울 서초
246,서울,서초,"남부순환로339길 64, 현우빌딩 1층 (서초동)02-758-8459",서울 서초
247,서울,서초,"서초중앙로 64, 1층 (서초동)02-758-8332",서울 서초
248,서울,서초,"서초대로77길 62, 강남역아이파크 B102~B105 (서초동)02-758-8587",서울 서초
249,서울,성북,종암로 17 (종암동)02-925-3469,서울 성북
250,서울,성북,동소문로 314 (하월곡동)02-913-3364,서울 성북
251,서울,성북,보문로34길 62 (동선동2가)02-922-3281,서울 성북
252,서울,성북,종암로 122 (종암동)02-758-8980,서울 성북
253,서울,성북,동소문로 10 (동소문동2가)02-758-8714,서울 성북
254,서울,성북,"화랑로 76, 101-1호 (하월곡동)02-758-8608",서울 성북
255,서울,성북,인촌로24길 51 (안암동5가)02-758-8067,서울 성북
256,서울,성북,"동소문로 315, 현대백화점미아점 지하 1층 (길음동)02-758-8203",서울 성북
257,서울,성북,동소문로24길 12 (동선동1가)02-758-8499,서울 성북
258,서울,성북,인촌로 102-2 (안암동5가)02-758-8541,서울 성북
259,서울,성북,성북로 11 (성북동1가)02-758-8455,서울 성북
260,서울,송파,오금로 142 (송파동)02-421-3622,서울 송파
261,서울,송파,올림픽로 289 (신천동)02-417-3614,서울 송파
262,서울,송파,송파대로 201 (문정동)02-881-5012,서울 송파
263,서울,송파,오금로 420 (가락동)02-401-3574,서울 송파
264,서울,송파,"송파대로 111 (문정동, 파크하비오) 204동 104호~107호02-401-3431",서울 송파
265,서울,송파,"송파대로 167 (문정동)테라타워 B동 137호~139호,204호02-2054-3836",서울 송파
266,서울,송파,올림픽로35길 141 (신천동)02-416-0020,서울 송파
267,서울,송파,"위례광장로 230 (장지동, 위례2차아이파크)02-3012-3457",서울 송파
268,서울,송파,오금로 241 (방이동)02-414-3269,서울 송파
269,서울,송파,오금로 87 (방이동)02-2145-0300,서울 송파
270,서울,송파,위례성대로 38 (방이동) 해태그린피아빌라트02-758-8983,서울 송파
271,서울,송파,법원로 55 (문정동)02-409-3245,서울 송파
272,서울,송파,송파대로 386 (송파동)02-758-8931,서울 송파
273,서울,송파,석촌호수로 176 (삼전동)02-758-8874,서울 송파
274,서울,송파,동남로 141 (가락동)02-758-8860,서울 송파
275,서울,송파,중대로 68 (문정동)02-758-8793,서울 송파
276,서울,송파,위례성대로 102 (방이동)02-758-8769,서울 송파
277,서울,송파,"마천로 53, 1~2층 (오금동)02-758-8698",서울 송파
278,서울,송파,석촌호수로 262 (송파동)02-758-8693,서울 송파
279,서울,송파,"올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)02-758-8652",서울 송파
280,서울,송파,올림픽로 96 (잠실동)02-758-8643,서울 송파
281,서울,송파,"송파대로 562, 한빛프라자 1층, 2층 (신천동)02-758-8077",서울 송파
282,서울,송파,"올림픽로 212, 갤러리아 팰리스 (잠실동)02-758-8118",서울 송파
283,서울,송파,백제고분로 69 (잠실동)02-758-8124,서울 송파
284,서울,송파,양재대로 1222 (방이동)02-758-8580,서울 송파
285,서울,송파,송파대로30길 13 (가락동)02-758-8495,서울 송파
286,서울,송파,"백제고분로 358, 1층 (석촌동)02-758-8350",서울 송파
287,서울,송파,"중대로 121, 롯데캐슬 파인힐 1층 (가락동)02-758-8469",서울 송파
288,서울,송파,충민로 10 (문정동) 가든파이브툴02-758-8406,서울 송파
289,서울,양천,공항대로 566 (목동) 1층 2층02-2645-3631,서울 양천
290,서울,양천,목동동로 309 (목동)02-2643-3652,서울 양천
291,서울,양천,신월로 341 (신정동)02-2604-3441,서울 양천
292,서울,양천,목동로 203 (신정동) 1층일부02-2602-3505,서울 양천
293,서울,양천,"오목로 279 (목동) 102,103,104,105호02-2642-3326",서울 양천
294,서울,양천,목동서로 299 (신정동)02-2061-3381,서울 양천
295,서울,양천,오목로 354 (목동)02-758-8941,서울 양천
296,서울,양천,남부순환로 430 (신월동)02-758-8930,서울 양천
297,서울,양천,목동서로 213 (목동) 세신비젼프라자02-758-8842,서울 양천
298,서울,양천,오목로 300 (목동)02-758-8610,서울 양천
299,서울,양천,"목동동로 411, 1동 116호(목동, 부영그린타운3차)02-758-8615",서울 양천
300,서울,양천,목동서로 67 (목동) 우성에펠타운02-758-8099,서울 양천
301,서울,양천,"목동동로 257, 현대백화점목동점 지하 2층 (목동)02-2163-1750",서울 양천
302,서울,양천,"목동서로 155, 목동파라곤 1층 (목동)02-758-8353",서울 양천
303,서울,영등포,여의대방로 376 (여의도동)02-780-3743,서울 영등포
304,서울,영등포,경인로 870 (영등포동1가)02-2068-3692,서울 영등포
305,서울,영등포,양평로 22 (당산동6가)02-2631-3397,서울 영등포
306,서울,영등포,국제금융로 10 (여의도동) 지하1층 178호02-6137-5178,서울 영등포
307,서울,영등포,의사당대로 26 (여의도동)02-782-3470,서울 영등포
308,서울,영등포,국제금융로6길 38 (여의도동)02-782-3565,서울 영등포
309,서울,영등포,국회대로 786 (여의도동)02-761-3466,서울 영등포
310,서울,영등포,영중로 119 (영등포동8가)02-2671-3369,서울 영등포
311,서울,영등포,여의공원로 101 (여의도동)02-3775-3359,서울 영등포
312,서울,영등포,의사당대로 8 (여의도동)02-780-3346,서울 영등포
313,서울,영등포,양평로 115 (양평동4가)02-2634-3258,서울 영등포
314,서울,영등포,의사당대로 83 (여의도동) 한국휴렛팩커드빌딩02-761-3236,서울 영등포
315,서울,영등포,선유동2로 57 (양평제1동) 이레빌딩02-2068-3224,서울 영등포
316,서울,영등포,국제금융로 86 (여의도동) 롯데캐슬 아이비02-758-8875,서울 영등포
317,서울,영등포,의사당대로 147 (여의도동) 알리안츠타워02-758-8834,서울 영등포
318,서울,영등포,신길로 137 (신길동)02-758-8813,서울 영등포
319,서울,영등포,당산로 34 (문래동3가)02-758-8833,서울 영등포
320,서울,영등포,양평로 64 (당산동6가)02-758-8713,서울 영등포
321,서울,영등포,국제금융로6길 7 (여의도동) 한양증권02-758-8711,서울 영등포
322,서울,영등포,은행로 11 (여의도동) 1층 1부02-758-8695,서울 영등포
323,서울,영등포,"영중로 9, 신세계백화점 B관 지하2층 (영등포동4가)02-2639-4072",서울 영등포
324,서울,영등포,경인로 775 (문래동3가) 에이스하이테크시티02-758-8210,서울 영등포
325,서울,영등포,"당산로 231, 대원빌딩 1,2층 (당산동6가)02-758-8270",서울 영등포
326,서울,영등포,국회대로70길 15-1 (여의도동)02-758-8008,서울 영등포
327,서울,영등포,국제금융로2길 28 (여의도동)02-758-8007,서울 영등포
328,서울,영등포,"국제금융로 56, 대우증권빌딩 1층 (여의도동)02-758-8052",서울 영등포
329,서울,영등포,의사당대로 127 (여의도동) 롯데캐슬앰파이어 1층 104호02-758-8127,서울 영등포
330,서울,영등포,"선유로 64, 대창타운빌 1층 (문래동3가)02-758-8324",서울 영등포
331,서울,영등포,"영중로 9, 신세계백화점 B관 1층 (영등포동4가)02-2639-4058",서울 영등포
332,서울,영등포,"여의대방로65길 24, 호성빌딩 1층 (여의도동)02-758-8379",서울 영등포
333,서울,영등포,"영중로 15, 타임스퀘어 단지 지하2층 (영등포동4가)02-758-8415",서울 영등포
334,서울,영등포,영등포로 254 (영등포동3가)02-758-8335,서울 영등포
335,서울,영등포,영중로 15 (영등포동4가) 타임스퀘어02-758-8303,서울 영등포
336,서울,영등포,"국회대로74길 12, 남중빌딩 1층 (여의도동)02-758-8348",서울 영등포
337,서울,영등포,국제금융로 10 (여의도동)02-6137-9955,서울 영등포
338,서울,은평,통일로 715 02-352-3711,서울 은평
339,서울,은평,진관3로 21 은평엘크루 101동 105-108호02-389-3557,서울 은평
340,서울,은평,통일로 842 (불광동)02-358-3491,서울 은평
341,서울,은평,통일로 867 (갈현동)02-388-3348,서울 은평
342,서울,은평,진관2로 1202-758-8934,서울 은평
343,서울,은평,은평로 170 (응암동)02-758-8762,서울 은평
344,서울,은평,은평로 111 (응암동)02-758-8139,서울 은평
345,서울,은평,연서로 146 (대조동)02-758-8515,서울 은평
346,서울,종로,율곡로2길 25 (수송동)02-730-3742,서울 종로
347,서울,종로,대학로12길 4 1~2층02-742-3673,서울 종로
348,서울,종로,새문안로3길 15 (당주동)02-730-3761,서울 종로
349,서울,종로,평창12길 3 (평창동)02-396-3631,서울 종로
350,서울,종로,종로 6 (서린동)02-733-3592,서울 종로
351,서울,종로,종로 51 (종로2가)02-722-3507,서울 종로
352,서울,종로,통일로 168-1 (교남동)02-737-3544,서울 종로
353,서울,종로,새문안로5가길 28 (적선동)02-722-3549,서울 종로
354,서울,종로,"종로 344 (숭인동, 대우디오빌) 101호 일부, 201호 일부02-2234-4265",서울 종로
355,서울,종로,삼봉로 71 (수송동)02-6281-3272,서울 종로
356,서울,종로,북촌로4길 23 (계동)02-758-8827,서울 종로
357,서울,종로,종로5길 30 (청진동) 1~3층02-758-8818,서울 종로
358,서울,종로,새문안로 92 (신문로1가) 광화문오피시아빌딩02-758-8788,서울 종로
359,서울,종로,북촌로 5-1 (재동)02-758-8779,서울 종로
360,서울,종로,삼청로 111-1 (삼청동)02-758-8771,서울 종로
361,서울,종로,종로3길 17 (청진동) D타워02-758-8954,서울 종로
362,서울,종로,돈화문로 13 (관수동) 서울극장02-758-8269,서울 종로
363,서울,종로,"새문안로5길 55, 노스게이트빌딩 1층 (적선동)02-758-8050",서울 종로
364,서울,종로,인사동길 14 (인사동)02-758-8022,서울 종로
365,서울,종로,청계천로 41 (서린동) 영풍빌딩02-758-8083,서울 종로
